CertificateID,CandidateName,GitHubLiveLink
"DEMO-001","Aarav Raj Sharma","https://dataanalystsachin.github.io/Certificate/certificates/DEMO-001.html"
"DEMO-3242342","Aarav Raj Sharma","https://dataanalystsachin.github.io/Certificate/certificates/DEMO-3242342.html"
"DEMO-12345","Aarav Raj Sharma","https://dataanalystsachin.github.io/Certificate/certificates/DEMO-12345.html"
"DEMO-3242343","Sachin Jangir","https://dataanalystsachin.github.io/Certificate/certificates/DEMO-3242343.html"
"DEMO-3242344","Rohan Kumar Verma","https://dataanalystsachin.github.io/Certificate/certificates/DEMO-3242344.html"
"DEMO-3242345","Ananya Priya Deshmukh","https://dataanalystsachin.github.io/Certificate/certificates/DEMO-3242345.html"
"DEMO-3242346","Priya Sneha Kulkarni","https://dataanalystsachin.github.io/Certificate/certificates/DEMO-3242346.html"
"DEMO-3242347","Rahul Ashok Singh","https://dataanalystsachin.github.io/Certificate/certificates/DEMO-3242347.html"
"DEMO-3242348","Sneha Ramesh Joshi","https://dataanalystsachin.github.io/Certificate/certificates/DEMO-3242348.html"
"DEMO-3242349","Akash Vijay Yadav","https://dataanalystsachin.github.io/Certificate/certificates/DEMO-3242349.html"
"DEMO-3242350","Neha Pooja Gupta","https://dataanalystsachin.github.io/Certificate/certificates/DEMO-3242350.html"
"DEMO-3242351","Saurabh Manoj Mishra","https://dataanalystsachin.github.io/Certificate/certificates/DEMO-3242351.html"
